donor_id,donation_type,available_quantity,location_donor,Trust_Score,availability
245,علاج,15,أسوان,76,اليوم
246,أكل,12,الأقصر,64,اليوم
247,أكل,7,الإسكندرية,96,خلال أسبوع
248,علاج,1,بورسعيد,49,اليوم
249,لبس,2,القاهرة,51,خلال أسبوع
250,علاج,10,المنصورة,69,اليوم
251,علاج,4,أسوان,71,خلال أسبوع
252,أكل,10,الإسكندرية,56,خلال أسبوع
253,علاج,2,الجيزة,44,غدا
254,علاج,15,المنصورة,40,غدا
255,علاج,3,أسوان,65,خلال أسبوع
256,أكل,2,الإسكندرية,63,خلال أسبوع
257,علاج,4,بورسعيد,41,اليوم
258,لبس,7,بورسعيد,42,خلال أسبوع
259,علاج,10,الإسكندرية,80,غدا
260,علاج,9,المنصورة,54,اليوم
261,علاج,11,بورسعيد,45,غدا
262,علاج,12,طنطا,62,غدا
263,علاج,3,القاهرة,70,اليوم
264,علاج,8,القاهرة,75,غدا
265,علاج,5,الجيزة,67,خلال أسبوع
266,علاج,10,القاهرة,88,اليوم
267,لبس,2,الإسكندرية,79,خلال أسبوع
268,لبس,6,الجيزة,83,خلال أسبوع
269,لبس,15,الجيزة,42,خلال أسبوع
270,لبس,12,الأقصر,85,اليوم
271,علاج,4,القاهرة,40,اليوم
272,علاج,3,الإسكندرية,55,غدا
273,علاج,11,بورسعيد,40,خلال أسبوع
274,لبس,11,الإسكندرية,96,خلال أسبوع
275,علاج,6,بورسعيد,76,اليوم
276,علاج,14,القاهرة,95,خلال أسبوع
277,علاج,7,بورسعيد,47,غدا
278,علاج,14,المنصورة,86,خلال أسبوع
279,علاج,4,القاهرة,56,غدا
280,أكل,1,الجيزة,46,غدا
281,علاج,8,القاهرة,41,خلال أسبوع
282,لبس,13,أسوان,75,اليوم
283,علاج,11,الجيزة,71,غدا
284,علاج,7,الإسكندرية,73,اليوم
285,لبس,2,الجيزة,62,اليوم
286,علاج,10,أسوان,79,خلال أسبوع
287,أكل,12,بورسعيد,47,غدا
288,لبس,6,الإسكندرية,84,اليوم
289,علاج,11,القاهرة,60,خلال أسبوع
290,علاج,11,المنصورة,80,غدا
291,لبس,12,القاهرة,84,خلال أسبوع
292,علاج,3,أسوان,87,خلال أسبوع
293,لبس,1,الجيزة,45,اليوم
294,لبس,6,طنطا,93,اليوم
295,علاج,9,الإسكندرية,65,اليوم
296,علاج,5,القاهرة,55,اليوم
297,علاج,15,القاهرة,85,خلال أسبوع
298,علاج,7,الجيزة,91,غدا
299,علاج,15,بورسعيد,63,خلال أسبوع
300,لبس,11,أسوان,78,اليوم
301,علاج,13,أسوان,76,غدا
302,علاج,8,الجيزة,46,خلال أسبوع
303,علاج,13,المنصورة,41,خلال أسبوع
304,علاج,7,الإسكندرية,68,غدا
305,أكل,2,طنطا,40,خلال أسبوع
306,علاج,10,المنصورة,98,اليوم
307,علاج,15,الإسكندرية,51,اليوم
308,علاج,12,طنطا,43,اليوم
309,لبس,8,طنطا,83,خلال أسبوع
310,علاج,9,أسوان,40,خلال أسبوع
311,علاج,15,الجيزة,87,اليوم
312,علاج,14,المنصورة,76,خلال أسبوع
313,أكل,11,أسوان,84,غدا
314,علاج,9,المنصورة,87,خلال أسبوع
315,لبس,15,الإسكندرية,72,غدا
316,علاج,14,طنطا,72,خلال أسبوع
317,لبس,13,بورسعيد,76,غدا
318,علاج,1,المنصورة,81,اليوم
319,علاج,10,الأقصر,79,خلال أسبوع
320,علاج,14,الأقصر,90,غدا
321,علاج,15,الأقصر,95,غدا
322,أكل,8,طنطا,77,اليوم
323,علاج,7,أسوان,58,خلال أسبوع
324,علاج,14,أسوان,76,اليوم
325,أكل,15,الأقصر,55,غدا
326,علاج,4,أسوان,80,خلال أسبوع
327,علاج,1,المنصورة,91,خلال أسبوع
328,علاج,6,أسوان,68,خلال أسبوع
329,علاج,6,طنطا,82,خلال أسبوع
330,علاج,9,الأقصر,92,اليوم
331,أكل,8,بورسعيد,43,غدا
332,أكل,13,المنصورة,69,غدا
333,علاج,14,بورسعيد,60,خلال أسبوع
334,علاج,1,المنصورة,72,خلال أسبوع
335,علاج,3,الإسكندرية,52,اليوم
336,علاج,6,الأقصر,40,اليوم
337,علاج,10,المنصورة,48,خلال أسبوع
338,أكل,12,الإسكندرية,54,غدا
339,علاج,6,بورسعيد,50,غدا
340,علاج,11,أسوان,91,اليوم
341,علاج,3,القاهرة,78,خلال أسبوع
342,علاج,3,بورسعيد,57,غدا
343,لبس,7,أسوان,96,اليوم
344,علاج,6,أسوان,63,غدا
345,أكل,15,الإسكندرية,42,اليوم
346,علاج,5,الجيزة,52,غدا
347,لبس,10,الأقصر,91,غدا
348,علاج,2,بورسعيد,99,خلال أسبوع
349,علاج,3,المنصورة,83,خلال أسبوع
350,لبس,1,المنصورة,87,غدا
351,علاج,14,الإسكندرية,98,خلال أسبوع
352,علاج,12,القاهرة,63,غدا
353,علاج,9,أسوان,55,خلال أسبوع
354,لبس,6,أسوان,91,غدا
355,أكل,3,طنطا,53,خلال أسبوع
356,أكل,8,المنصورة,71,خلال أسبوع
357,لبس,15,القاهرة,54,خلال أسبوع
358,علاج,14,بورسعيد,76,خلال أسبوع
359,لبس,11,طنطا,42,اليوم
360,علاج,12,بورسعيد,65,خلال أسبوع
361,علاج,14,الإسكندرية,100,غدا
362,علاج,11,الإسكندرية,49,اليوم
363,لبس,6,القاهرة,65,اليوم
364,أكل,7,المنصورة,41,خلال أسبوع
365,علاج,2,الإسكندرية,42,اليوم
366,علاج,5,الأقصر,79,اليوم
367,علاج,8,الإسكندرية,98,اليوم
368,علاج,2,بورسعيد,83,اليوم
369,علاج,12,الجيزة,87,خلال أسبوع
370,علاج,13,الإسكندرية,47,اليوم
371,أكل,8,الجيزة,50,اليوم
372,أكل,15,الإسكندرية,96,غدا
373,علاج,8,المنصورة,87,غدا
374,أكل,6,الأقصر,79,خلال أسبوع
375,علاج,9,المنصورة,90,غدا
376,أكل,7,الإسكندرية,49,غدا
377,علاج,14,القاهرة,45,اليوم
378,علاج,1,الأقصر,56,غدا
379,لبس,9,أسوان,48,خلال أسبوع
380,علاج,1,طنطا,92,خلال أسبوع
381,علاج,15,الأقصر,68,اليوم
382,لبس,15,أسوان,51,غدا
383,علاج,9,المنصورة,84,غدا
384,علاج,15,الأقصر,40,غدا
385,علاج,10,الأقصر,66,غدا
386,علاج,13,القاهرة,67,اليوم
387,علاج,9,المنصورة,98,اليوم
388,علاج,7,القاهرة,90,خلال أسبوع
389,علاج,15,طنطا,83,خلال أسبوع
390,علاج,13,طنطا,56,اليوم
391,أكل,6,بورسعيد,95,غدا
392,علاج,7,القاهرة,61,غدا
393,علاج,9,القاهرة,90,اليوم
394,علاج,7,طنطا,59,خلال أسبوع
395,علاج,2,الإسكندرية,69,خلال أسبوع
396,أكل,15,الإسكندرية,88,غدا
397,علاج,6,بورسعيد,63,خلال أسبوع
398,أكل,14,طنطا,90,اليوم
399,علاج,2,الأقصر,75,اليوم
400,أكل,15,الجيزة,70,اليوم
401,علاج,11,طنطا,71,اليوم
402,أكل,8,المنصورة,81,اليوم
403,علاج,14,الأقصر,43,غدا
404,علاج,9,أسوان,86,غدا
405,علاج,12,الإسكندرية,81,خلال أسبوع
406,علاج,1,القاهرة,44,اليوم
407,أكل,1,المنصورة,43,اليوم
408,علاج,6,القاهرة,86,اليوم
409,أكل,3,أسوان,82,غدا
410,علاج,11,بورسعيد,85,خلال أسبوع
411,أكل,2,القاهرة,83,اليوم
412,لبس,15,المنصورة,57,خلال أسبوع
413,علاج,11,أسوان,80,اليوم
414,لبس,10,المنصورة,87,غدا
415,لبس,3,طنطا,82,خلال أسبوع
416,علاج,5,الإسكندرية,43,غدا
417,لبس,2,المنصورة,89,خلال أسبوع
418,لبس,1,القاهرة,45,غدا
419,علاج,13,بورسعيد,95,غدا
420,علاج,10,المنصورة,64,خلال أسبوع
421,علاج,15,طنطا,89,اليوم
422,لبس,8,الجيزة,91,غدا
423,علاج,1,أسوان,73,غدا
424,علاج,9,الجيزة,57,خلال أسبوع
425,أكل,9,القاهرة,53,غدا
426,علاج,5,الإسكندرية,83,غدا
427,لبس,6,القاهرة,76,خلال أسبوع
428,علاج,4,الإسكندرية,56,غدا
429,علاج,8,الجيزة,46,اليوم
430,أكل,15,أسوان,91,خلال أسبوع
431,لبس,7,طنطا,97,خلال أسبوع
432,علاج,12,أسوان,78,اليوم
433,علاج,6,طنطا,47,خلال أسبوع
434,أكل,14,المنصورة,86,خلال أسبوع
435,لبس,12,القاهرة,96,اليوم
436,علاج,14,طنطا,56,اليوم
437,علاج,11,الإسكندرية,40,غدا
438,علاج,14,الإسكندرية,92,خلال أسبوع
439,علاج,14,الجيزة,85,خلال أسبوع
440,لبس,8,الأقصر,78,خلال أسبوع
441,علاج,5,طنطا,40,غدا
442,علاج,15,المنصورة,46,غدا
443,لبس,11,المنصورة,90,اليوم
444,علاج,2,المنصورة,51,غدا
445,أكل,13,الأقصر,62,غدا
446,علاج,8,طنطا,79,خلال أسبوع
447,علاج,8,المنصورة,100,غدا
448,لبس,6,الأقصر,96,غدا
449,علاج,5,القاهرة,47,خلال أسبوع
450,علاج,12,بورسعيد,66,اليوم
451,علاج,7,الإسكندرية,84,غدا
452,أكل,12,بورسعيد,56,غدا
453,علاج,1,الجيزة,49,غدا
454,لبس,8,الأقصر,67,خلال أسبوع
455,علاج,2,الجيزة,63,غدا
456,علاج,12,الإسكندرية,84,اليوم
457,أكل,11,طنطا,61,خلال أسبوع
458,أكل,14,المنصورة,54,غدا
459,علاج,12,الإسكندرية,68,خلال أسبوع
460,علاج,1,بورسعيد,93,غدا
461,علاج,12,المنصورة,44,خلال أسبوع
462,علاج,3,الأقصر,59,خلال أسبوع
463,علاج,14,الجيزة,91,غدا
464,أكل,4,القاهرة,71,خلال أسبوع
465,علاج,9,القاهرة,97,غدا
466,لبس,12,الأقصر,62,خلال أسبوع
467,علاج,7,طنطا,54,غدا
468,علاج,14,بورسعيد,45,خلال أسبوع
469,علاج,14,طنطا,61,اليوم
470,علاج,9,طنطا,67,خلال أسبوع
471,علاج,5,طنطا,77,خلال أسبوع
472,لبس,3,الإسكندرية,84,خلال أسبوع
473,أكل,6,الإسكندرية,42,اليوم
474,علاج,14,الإسكندرية,92,خلال أسبوع
475,علاج,2,الإسكندرية,53,خلال أسبوع
476,علاج,14,طنطا,100,غدا
477,لبس,3,المنصورة,99,خلال أسبوع
478,علاج,3,طنطا,100,خلال أسبوع
479,لبس,3,المنصورة,49,خلال أسبوع
480,علاج,1,بورسعيد,49,اليوم
481,علاج,9,بورسعيد,93,غدا
482,علاج,1,طنطا,51,خلال أسبوع
483,علاج,5,أسوان,92,خلال أسبوع
484,علاج,4,أسوان,97,غدا
485,علاج,3,المنصورة,71,خلال أسبوع
486,أكل,5,أسوان,53,غدا
487,علاج,10,المنصورة,53,اليوم
488,علاج,12,الإسكندرية,50,خلال أسبوع
489,أكل,5,الإسكندرية,90,غدا
490,علاج,6,أسوان,61,غدا
491,علاج,12,بورسعيد,77,غدا
492,أكل,5,الأقصر,46,غدا
493,علاج,14,الجيزة,63,خلال أسبوع
494,لبس,7,المنصورة,54,خلال أسبوع
495,علاج,10,القاهرة,59,غدا
496,لبس,12,طنطا,71,خلال أسبوع
497,علاج,12,المنصورة,79,اليوم
498,لبس,9,أسوان,62,خلال أسبوع
499,علاج,1,بورسعيد,82,غدا
500,علاج,10,الأقصر,100,غدا
501,علاج,14,الأقصر,50,غدا
502,علاج,7,القاهرة,80,خلال أسبوع
503,علاج,1,الجيزة,48,خلال أسبوع
504,علاج,10,القاهرة,84,اليوم
505,علاج,8,الجيزة,95,غدا
506,علاج,4,أسوان,67,خلال أسبوع
507,لبس,15,الجيزة,42,خلال أسبوع
508,أكل,6,بورسعيد,53,خلال أسبوع
509,لبس,7,المنصورة,41,اليوم
510,علاج,8,الإسكندرية,72,غدا
511,علاج,6,الأقصر,82,خلال أسبوع
512,علاج,15,الأقصر,62,غدا
513,لبس,10,أسوان,63,اليوم
514,علاج,4,طنطا,48,خلال أسبوع
515,أكل,8,الجيزة,59,خلال أسبوع
516,أكل,9,بورسعيد,79,غدا
517,لبس,3,أسوان,49,اليوم
518,علاج,11,الإسكندرية,89,اليوم
519,لبس,2,الجيزة,79,خلال أسبوع
520,أكل,5,أسوان,71,غدا
521,لبس,3,القاهرة,91,اليوم
522,علاج,8,طنطا,88,خلال أسبوع
523,علاج,1,الإسكندرية,59,اليوم
524,لبس,11,بورسعيد,51,خلال أسبوع
525,علاج,5,الأقصر,40,خلال أسبوع
526,علاج,4,طنطا,54,غدا
527,علاج,5,المنصورة,51,خلال أسبوع
528,أكل,6,الإسكندرية,62,غدا
529,علاج,10,القاهرة,85,اليوم
530,علاج,15,الأقصر,45,غدا
531,علاج,6,الأقصر,66,اليوم
532,علاج,2,الجيزة,53,غدا
533,علاج,5,أسوان,70,غدا
534,علاج,13,طنطا,84,اليوم
535,علاج,7,الجيزة,51,غدا
536,علاج,2,الجيزة,49,غدا
537,أكل,15,بورسعيد,72,اليوم
538,أكل,5,الأقصر,75,غدا
539,علاج,10,القاهرة,75,خلال أسبوع
540,علاج,2,طنطا,83,غدا
541,علاج,4,الجيزة,92,خلال أسبوع
542,علاج,14,القاهرة,72,اليوم
543,علاج,4,أسوان,65,خلال أسبوع
544,علاج,2,المنصورة,49,اليوم
545,علاج,8,القاهرة,59,خلال أسبوع
546,علاج,2,القاهرة,94,خلال أسبوع
547,علاج,15,الجيزة,79,اليوم
548,لبس,1,أسوان,92,اليوم
549,علاج,4,الإسكندرية,41,اليوم
550,علاج,6,طنطا,41,غدا
551,علاج,8,طنطا,62,اليوم
552,علاج,6,الإسكندرية,62,خلال أسبوع
553,علاج,4,الجيزة,92,غدا
554,أكل,7,القاهرة,93,اليوم
555,علاج,9,الجيزة,45,خلال أسبوع
556,أكل,6,المنصورة,94,اليوم
557,علاج,7,بورسعيد,43,غدا
558,أكل,1,الإسكندرية,78,خلال أسبوع
559,علاج,14,طنطا,65,خلال أسبوع
560,علاج,3,الجيزة,53,خلال أسبوع
561,أكل,8,الجيزة,87,خلال أسبوع
562,أكل,13,القاهرة,77,غدا
563,علاج,1,طنطا,52,اليوم
564,لبس,4,القاهرة,91,غدا
565,علاج,5,الأقصر,96,خلال أسبوع
566,علاج,9,بورسعيد,79,خلال أسبوع
567,علاج,6,القاهرة,93,خلال أسبوع
568,علاج,9,أسوان,98,خلال أسبوع
569,علاج,6,أسوان,87,غدا
570,أكل,4,الإسكندرية,97,خلال أسبوع
571,علاج,15,الأقصر,73,غدا
572,علاج,9,بورسعيد,75,خلال أسبوع
573,علاج,15,بورسعيد,49,اليوم
574,أكل,5,بورسعيد,66,غدا
575,علاج,5,طنطا,66,غدا
576,علاج,8,الأقصر,46,غدا
577,أكل,3,الجيزة,65,اليوم
578,لبس,6,الإسكندرية,76,غدا
579,أكل,2,الجيزة,62,خلال أسبوع
580,علاج,2,الجيزة,87,غدا
581,لبس,8,الإسكندرية,74,اليوم
582,علاج,4,طنطا,97,غدا
583,علاج,7,الجيزة,46,غدا
584,علاج,15,طنطا,44,اليوم
585,علاج,7,المنصورة,90,غدا
586,علاج,11,الأقصر,64,غدا
587,علاج,7,القاهرة,64,خلال أسبوع
588,علاج,8,الجيزة,57,اليوم
589,علاج,5,أسوان,57,غدا
590,علاج,7,طنطا,41,اليوم
591,أكل,2,طنطا,81,اليوم
592,علاج,4,طنطا,91,خلال أسبوع
593,علاج,3,الجيزة,81,خلال أسبوع
594,علاج,7,بورسعيد,74,غدا
595,علاج,6,الجيزة,41,خلال أسبوع
596,أكل,13,الجيزة,66,خلال أسبوع
597,علاج,2,الجيزة,52,غدا
598,أكل,4,الأقصر,92,خلال أسبوع
599,علاج,5,بورسعيد,95,خلال أسبوع
600,أكل,1,أسوان,51,غدا
601,علاج,11,أسوان,96,خلال أسبوع
602,علاج,10,المنصورة,56,غدا
603,علاج,7,أسوان,58,اليوم
604,علاج,8,أسوان,94,خلال أسبوع
605,لبس,3,القاهرة,40,اليوم
606,علاج,14,الجيزة,81,غدا
607,لبس,8,الأقصر,84,غدا
608,علاج,6,الجيزة,92,غدا
609,علاج,4,الجيزة,67,غدا
610,علاج,8,الجيزة,83,خلال أسبوع
611,أكل,8,القاهرة,69,خلال أسبوع
612,علاج,12,الأقصر,80,خلال أسبوع
613,علاج,2,بورسعيد,42,غدا
614,علاج,5,الجيزة,84,خلال أسبوع
615,علاج,15,بورسعيد,60,خلال أسبوع
616,علاج,4,بورسعيد,70,اليوم
617,علاج,12,أسوان,95,خلال أسبوع
618,علاج,9,الجيزة,82,اليوم
619,علاج,15,أسوان,64,خلال أسبوع
620,علاج,8,الإسكندرية,92,اليوم
621,علاج,3,الجيزة,93,خلال أسبوع
622,علاج,15,الأقصر,44,خلال أسبوع
623,علاج,10,الإسكندرية,47,غدا
624,لبس,15,طنطا,56,غدا
