request_id,need_type,needed_quantity,location_requester,urgency,age,family_members,is_family
102,علاج,5,أسوان,عاجل,78,3,1
103,علاج,2,الإسكندرية,متوسط,14,1,0
104,لبس,10,الجيزة,متوسط,26,5,1
105,علاج,4,الجيزة,منخفض,39,2,1
106,أكل,10,القاهرة,متوسط,69,5,1
107,لبس,2,أسوان,عاجل,54,1,0
108,علاج,6,المنصورة,منخفض,20,3,1
109,علاج,9,الأقصر,متوسط,69,5,1
110,علاج,10,الأقصر,متوسط,32,5,1
111,علاج,4,المنصورة,منخفض,79,2,1
112,لبس,1,المنصورة,متوسط,24,1,0
113,لبس,5,أسوان,متوسط,77,3,1
114,علاج,1,بورسعيد,عاجل,31,1,0
115,علاج,9,بورسعيد,منخفض,61,5,1
116,علاج,8,القاهرة,عاجل,38,4,1
117,علاج,4,الأقصر,منخفض,75,2,1
118,علاج,9,أسوان,متوسط,71,5,1
119,علاج,8,بورسعيد,متوسط,33,4,1
120,علاج,4,الأقصر,عاجل,69,2,1
121,علاج,4,المنصورة,متوسط,76,2,1
122,لبس,2,الإسكندرية,متوسط,30,1,0
123,لبس,1,الجيزة,متوسط,6,1,0
124,لبس,3,المنصورة,عاجل,2,1,0
125,علاج,8,المنصورة,متوسط,24,4,1
126,علاج,2,الجيزة,متوسط,63,1,0
127,علاج,1,الإسكندرية,متوسط,73,1,0
128,علاج,2,طنطا,منخفض,77,1,0
129,علاج,7,المنصورة,متوسط,39,4,1
130,لبس,10,طنطا,منخفض,13,5,1
131,علاج,5,أسوان,عاجل,31,3,1
132,أكل,3,القاهرة,متوسط,58,1,0
133,علاج,5,القاهرة,عاجل,37,3,1
134,علاج,8,الجيزة,منخفض,30,4,1
135,علاج,4,طنطا,عاجل,70,2,1
136,علاج,5,الإسكندرية,عاجل,8,3,1
137,علاج,10,الأقصر,متوسط,16,5,1
138,لبس,7,الجيزة,منخفض,70,4,1
139,أكل,10,القاهرة,متوسط,42,5,1
140,أكل,2,بورسعيد,منخفض,74,1,0
141,علاج,5,القاهرة,عاجل,61,3,1
142,علاج,5,الإسكندرية,منخفض,56,3,1
143,أكل,8,أسوان,متوسط,43,4,1
144,أكل,3,أسوان,متوسط,64,1,0
145,علاج,9,القاهرة,متوسط,12,5,1
146,لبس,2,طنطا,منخفض,1,1,0
147,علاج,7,القاهرة,عاجل,67,4,1
148,علاج,8,القاهرة,عاجل,35,4,1
149,لبس,8,المنصورة,عاجل,4,4,1
150,علاج,3,الأقصر,منخفض,2,1,0
151,أكل,4,الجيزة,متوسط,16,2,1
152,علاج,5,الأقصر,متوسط,62,3,1
153,علاج,9,الإسكندرية,متوسط,25,5,1
154,علاج,3,الجيزة,متوسط,54,1,0
155,لبس,1,الأقصر,منخفض,39,1,0
156,علاج,8,الإسكندرية,متوسط,69,4,1
157,لبس,9,طنطا,متوسط,42,5,1
158,علاج,10,طنطا,عاجل,53,5,1
159,علاج,8,طنطا,متوسط,20,4,1
160,علاج,9,أسوان,عاجل,57,5,1
161,علاج,1,الإسكندرية,متوسط,20,1,0
162,لبس,6,طنطا,متوسط,11,3,1
163,علاج,7,أسوان,منخفض,63,4,1
164,علاج,2,بورسعيد,منخفض,37,1,0
165,أكل,7,الجيزة,منخفض,13,4,1
166,علاج,5,القاهرة,متوسط,42,3,1
167,لبس,6,طنطا,عاجل,32,3,1
168,علاج,3,الإسكندرية,عاجل,11,1,0
169,علاج,4,المنصورة,منخفض,19,2,1
170,علاج,5,المنصورة,منخفض,2,3,1
171,علاج,9,الإسكندرية,عاجل,57,5,1
172,لبس,7,الأقصر,متوسط,39,4,1
173,علاج,2,بورسعيد,متوسط,74,1,0
174,لبس,5,القاهرة,منخفض,51,3,1
175,علاج,1,المنصورة,متوسط,30,1,0
176,علاج,4,الأقصر,منخفض,18,2,1
177,علاج,1,الأقصر,متوسط,5,1,0
178,علاج,3,الجيزة,متوسط,42,1,0
179,علاج,4,الإسكندرية,منخفض,47,2,1
180,لبس,3,الأقصر,متوسط,38,1,0
181,أكل,8,الجيزة,عاجل,29,4,1
182,علاج,7,أسوان,متوسط,51,4,1
183,علاج,2,المنصورة,متوسط,34,1,0
184,علاج,6,الجيزة,منخفض,30,3,1
185,علاج,9,الأقصر,منخفض,29,5,1
186,علاج,8,الأقصر,منخفض,53,4,1
187,أكل,1,بورسعيد,متوسط,15,1,0
188,علاج,3,طنطا,متوسط,48,1,0
189,علاج,9,طنطا,منخفض,20,5,1
190,أكل,8,طنطا,متوسط,5,4,1
191,علاج,8,المنصورة,عاجل,47,4,1
192,لبس,9,أسوان,عاجل,51,5,1
193,أكل,8,بورسعيد,متوسط,28,4,1
194,علاج,1,القاهرة,متوسط,32,1,0
195,علاج,2,بورسعيد,منخفض,28,1,0
196,علاج,10,القاهرة,متوسط,19,5,1
197,لبس,3,الجيزة,منخفض,4,1,0
198,لبس,4,أسوان,عاجل,23,2,1
199,علاج,7,الأقصر,منخفض,9,4,1
200,لبس,9,القاهرة,متوسط,65,5,1
201,أكل,9,الأقصر,منخفض,4,5,1
202,علاج,7,الجيزة,متوسط,57,4,1
203,لبس,10,الإسكندرية,عاجل,17,5,1
204,علاج,10,أسوان,منخفض,77,5,1
205,علاج,9,طنطا,عاجل,15,5,1
206,علاج,4,طنطا,متوسط,30,2,1
207,علاج,7,طنطا,متوسط,13,4,1
208,لبس,5,أسوان,عاجل,61,3,1
209,أكل,2,أسوان,عاجل,48,1,0
210,أكل,10,أسوان,منخفض,16,5,1
211,علاج,7,القاهرة,متوسط,77,4,1
212,أكل,10,بورسعيد,عاجل,62,5,1
213,لبس,9,أسوان,عاجل,36,5,1
214,علاج,9,الأقصر,منخفض,35,5,1
215,لبس,5,أسوان,متوسط,1,3,1
216,علاج,7,الجيزة,عاجل,4,4,1
217,علاج,4,طنطا,متوسط,59,2,1
218,لبس,5,أسوان,منخفض,77,3,1
219,علاج,3,الجيزة,منخفض,11,1,0
220,علاج,7,المنصورة,متوسط,57,4,1
221,علاج,9,الجيزة,متوسط,56,5,1
222,علاج,10,المنصورة,منخفض,40,5,1
223,علاج,10,القاهرة,متوسط,27,5,1
224,علاج,5,الأقصر,متوسط,16,3,1
225,علاج,7,الإسكندرية,عاجل,49,4,1
226,علاج,9,أسوان,عاجل,51,5,1
227,علاج,1,المنصورة,عاجل,41,1,0
228,علاج,7,طنطا,متوسط,15,4,1
229,لبس,3,المنصورة,منخفض,47,1,0
230,أكل,4,طنطا,منخفض,52,2,1
231,علاج,5,أسوان,عاجل,43,3,1
232,علاج,2,بورسعيد,متوسط,45,1,0
233,علاج,4,الجيزة,عاجل,33,2,1
234,علاج,3,الجيزة,عاجل,64,1,0
235,علاج,8,أسوان,منخفض,41,4,1
236,أكل,8,المنصورة,منخفض,39,4,1
237,أكل,6,الجيزة,متوسط,60,3,1
238,أكل,6,الأقصر,عاجل,12,3,1
239,علاج,7,القاهرة,منخفض,71,4,1
240,علاج,10,بورسعيد,متوسط,78,5,1
241,علاج,1,المنصورة,عاجل,44,1,0
242,علاج,3,الإسكندرية,عاجل,57,1,0
243,علاج,10,الإسكندرية,متوسط,48,5,1
244,علاج,6,القاهرة,منخفض,43,3,1
245,أكل,9,طنطا,منخفض,33,5,1
246,علاج,3,أسوان,عاجل,75,1,0
247,لبس,5,طنطا,عاجل,77,3,1
248,لبس,9,طنطا,منخفض,43,5,1
249,علاج,9,الجيزة,متوسط,55,5,1
250,أكل,6,الأقصر,عاجل,28,3,1
251,علاج,4,أسوان,عاجل,10,2,1
252,علاج,9,القاهرة,منخفض,44,5,1
253,علاج,7,الإسكندرية,عاجل,24,4,1
254,علاج,8,القاهرة,متوسط,47,4,1
255,علاج,8,الأقصر,منخفض,58,4,1
256,علاج,5,المنصورة,عاجل,48,3,1
257,علاج,8,الأقصر,متوسط,65,4,1
258,علاج,4,الإسكندرية,متوسط,7,2,1
259,لبس,9,أسوان,منخفض,67,5,1
260,أكل,3,الأقصر,متوسط,66,1,0
261,أكل,4,المنصورة,متوسط,4,2,1
262,علاج,9,أسوان,عاجل,50,5,1
263,علاج,1,أسوان,عاجل,43,1,0
264,أكل,5,المنصورة,منخفض,18,3,1
265,علاج,10,القاهرة,عاجل,3,5,1
266,علاج,9,طنطا,عاجل,37,5,1
267,أكل,1,بورسعيد,متوسط,80,1,0
268,أكل,8,القاهرة,منخفض,66,4,1
269,علاج,3,الأقصر,متوسط,1,1,0
270,علاج,10,طنطا,عاجل,11,5,1
271,أكل,9,المنصورة,متوسط,61,5,1
272,علاج,6,الأقصر,منخفض,3,3,1
273,لبس,4,الجيزة,منخفض,43,2,1
274,لبس,9,أسوان,منخفض,23,5,1
275,علاج,8,الإسكندرية,عاجل,9,4,1
276,أكل,5,بورسعيد,متوسط,26,3,1
277,لبس,9,طنطا,متوسط,61,5,1
278,علاج,4,طنطا,متوسط,7,2,1
279,لبس,2,الأقصر,متوسط,52,1,0
280,علاج,6,الإسكندرية,متوسط,64,3,1
281,لبس,2,الإسكندرية,متوسط,56,1,0
282,علاج,5,أسوان,عاجل,11,3,1
283,لبس,5,المنصورة,منخفض,55,3,1
284,علاج,6,المنصورة,عاجل,46,3,1
285,لبس,1,الجيزة,منخفض,52,1,0
286,علاج,3,القاهرة,متوسط,78,1,0
287,أكل,3,الجيزة,عاجل,47,1,0
288,علاج,1,الإسكندرية,منخفض,58,1,0
289,علاج,2,الإسكندرية,منخفض,47,1,0
290,علاج,5,بورسعيد,عاجل,4,3,1
291,علاج,9,طنطا,منخفض,16,5,1
292,علاج,8,بورسعيد,منخفض,37,4,1
293,علاج,2,الإسكندرية,عاجل,58,1,0
294,علاج,2,أسوان,منخفض,45,1,0
295,علاج,9,الجيزة,متوسط,21,5,1
296,علاج,3,أسوان,منخفض,29,1,0
297,علاج,4,المنصورة,عاجل,47,2,1
298,لبس,8,الإسكندرية,منخفض,12,4,1
299,علاج,8,طنطا,متوسط,74,4,1
300,لبس,2,المنصورة,منخفض,67,1,0
301,علاج,10,الإسكندرية,عاجل,56,5,1
302,أكل,9,الإسكندرية,متوسط,22,5,1
303,علاج,4,أسوان,منخفض,37,2,1
304,علاج,9,الأقصر,عاجل,39,5,1
305,أكل,9,الإسكندرية,منخفض,75,5,1
306,علاج,10,أسوان,منخفض,6,5,1
307,أكل,10,الأقصر,منخفض,27,5,1
308,علاج,1,المنصورة,منخفض,70,1,0
309,لبس,8,بورسعيد,منخفض,52,4,1
310,أكل,1,الإسكندرية,متوسط,54,1,0
311,علاج,6,الإسكندرية,متوسط,41,3,1
312,علاج,3,أسوان,منخفض,72,1,0
313,علاج,8,الجيزة,متوسط,58,4,1
314,أكل,1,طنطا,متوسط,79,1,0
315,علاج,6,أسوان,متوسط,21,3,1
316,علاج,8,الأقصر,متوسط,3,4,1
317,علاج,8,بورسعيد,عاجل,75,4,1
318,أكل,5,الإسكندرية,منخفض,61,3,1
319,أكل,2,طنطا,عاجل,34,1,0
320,علاج,6,الأقصر,متوسط,7,3,1
321,علاج,6,الأقصر,عاجل,50,3,1
322,علاج,5,الجيزة,عاجل,13,3,1
323,لبس,9,الأقصر,متوسط,26,5,1
324,علاج,9,القاهرة,عاجل,5,5,1
325,لبس,8,المنصورة,عاجل,78,4,1
326,لبس,10,أسوان,متوسط,51,5,1
327,لبس,10,أسوان,منخفض,66,5,1
328,علاج,10,الأقصر,متوسط,3,5,1
329,علاج,2,أسوان,منخفض,40,1,0
330,علاج,1,المنصورة,متوسط,75,1,0
331,علاج,1,المنصورة,عاجل,68,1,0
332,علاج,7,الإسكندرية,منخفض,32,4,1
333,علاج,2,بورسعيد,عاجل,57,1,0
334,علاج,7,بورسعيد,متوسط,65,4,1
335,علاج,1,الإسكندرية,منخفض,27,1,0
336,علاج,8,طنطا,متوسط,23,4,1
337,لبس,9,أسوان,منخفض,34,5,1
338,علاج,4,الأقصر,منخفض,39,2,1
339,لبس,4,أسوان,متوسط,62,2,1
340,علاج,5,الأقصر,عاجل,74,3,1
341,علاج,7,أسوان,عاجل,38,4,1
342,علاج,2,الإسكندرية,متوسط,33,1,0
343,علاج,4,الأقصر,منخفض,35,2,1
344,علاج,10,بورسعيد,عاجل,7,5,1
345,علاج,4,القاهرة,عاجل,53,2,1
346,علاج,2,الإسكندرية,عاجل,71,1,0
347,علاج,8,المنصورة,منخفض,26,4,1
348,لبس,1,الجيزة,منخفض,74,1,0
349,علاج,1,الإسكندرية,منخفض,23,1,0
350,علاج,3,الأقصر,متوسط,2,1,0
351,علاج,2,أسوان,متوسط,59,1,0
352,علاج,8,الإسكندرية,منخفض,60,4,1
353,أكل,6,الإسكندرية,منخفض,59,3,1
354,علاج,3,القاهرة,منخفض,44,1,0
355,علاج,4,الإسكندرية,منخفض,52,2,1
356,لبس,2,طنطا,منخفض,13,1,0
357,علاج,6,بورسعيد,عاجل,34,3,1
358,علاج,5,أسوان,متوسط,75,3,1
359,أكل,5,أسوان,منخفض,31,3,1
360,أكل,8,الأقصر,متوسط,52,4,1
361,علاج,5,الجيزة,منخفض,38,3,1
362,علاج,4,الإسكندرية,متوسط,20,2,1
363,علاج,6,طنطا,منخفض,71,3,1
364,علاج,4,بورسعيد,منخفض,77,2,1
365,علاج,9,أسوان,عاجل,73,5,1
366,علاج,9,بورسعيد,منخفض,69,5,1
367,لبس,9,المنصورة,عاجل,27,5,1
368,علاج,2,المنصورة,عاجل,59,1,0
369,علاج,8,الإسكندرية,منخفض,60,4,1
370,علاج,1,طنطا,متوسط,1,1,0
371,علاج,2,القاهرة,متوسط,45,1,0
372,علاج,1,الجيزة,متوسط,5,1,0
373,علاج,3,طنطا,منخفض,49,1,0
374,علاج,2,الإسكندرية,منخفض,45,1,0
375,علاج,7,الإسكندرية,منخفض,29,4,1
376,لبس,8,طنطا,منخفض,49,4,1
377,علاج,6,الإسكندرية,متوسط,25,3,1
378,أكل,7,القاهرة,عاجل,27,4,1
379,علاج,1,المنصورة,منخفض,7,1,0
380,أكل,7,المنصورة,عاجل,70,4,1
381,علاج,9,أسوان,عاجل,74,5,1
382,علاج,6,بورسعيد,متوسط,19,3,1
383,علاج,7,الأقصر,متوسط,8,4,1
384,علاج,3,طنطا,منخفض,64,1,0
385,علاج,7,أسوان,منخفض,54,4,1
386,لبس,7,أسوان,منخفض,61,4,1
387,لبس,3,المنصورة,عاجل,72,1,0
388,علاج,9,الإسكندرية,متوسط,32,5,1
389,لبس,2,المنصورة,متوسط,12,1,0
390,علاج,1,الأقصر,متوسط,78,1,0
391,أكل,4,بورسعيد,متوسط,27,2,1
392,أكل,4,أسوان,منخفض,16,2,1
393,علاج,10,بورسعيد,متوسط,31,5,1
394,لبس,7,المنصورة,منخفض,46,4,1
395,لبس,9,المنصورة,منخفض,13,5,1
396,لبس,4,أسوان,متوسط,53,2,1
397,علاج,3,القاهرة,متوسط,71,1,0
398,علاج,7,القاهرة,عاجل,26,4,1
399,علاج,10,بورسعيد,متوسط,71,5,1
400,لبس,5,المنصورة,منخفض,63,3,1
401,علاج,6,الإسكندرية,عاجل,70,3,1
402,علاج,1,القاهرة,عاجل,7,1,0
403,علاج,4,الجيزة,منخفض,20,2,1
404,علاج,8,أسوان,عاجل,80,4,1
405,علاج,8,المنصورة,عاجل,1,4,1
406,علاج,1,القاهرة,منخفض,36,1,0
407,أكل,9,طنطا,عاجل,14,5,1
408,علاج,4,بورسعيد,منخفض,68,2,1
409,لبس,7,الجيزة,متوسط,52,4,1
410,علاج,4,الأقصر,منخفض,11,2,1
411,أكل,2,طنطا,متوسط,49,1,0
412,أكل,1,الإسكندرية,عاجل,64,1,0
413,لبس,10,الجيزة,منخفض,6,5,1
414,علاج,10,المنصورة,متوسط,6,5,1
415,لبس,9,القاهرة,عاجل,41,5,1
416,علاج,3,طنطا,عاجل,39,1,0
417,علاج,10,طنطا,منخفض,70,5,1
418,علاج,3,الجيزة,منخفض,45,1,0
419,علاج,4,القاهرة,متوسط,78,2,1
420,علاج,6,القاهرة,منخفض,35,3,1
421,علاج,6,طنطا,متوسط,24,3,1
422,علاج,7,الجيزة,منخفض,38,4,1
423,أكل,2,الأقصر,عاجل,49,1,0
424,علاج,7,أسوان,متوسط,14,4,1
425,لبس,8,أسوان,متوسط,14,4,1
426,علاج,7,المنصورة,منخفض,72,4,1
427,أكل,1,الجيزة,متوسط,71,1,0
428,علاج,6,طنطا,عاجل,38,3,1
429,أكل,9,القاهرة,متوسط,67,5,1
430,علاج,3,الإسكندرية,متوسط,39,1,0
431,علاج,2,الإسكندرية,متوسط,36,1,0
432,علاج,2,أسوان,متوسط,32,1,0
433,علاج,10,بورسعيد,متوسط,14,5,1
434,أكل,7,أسوان,منخفض,49,4,1
435,لبس,7,الإسكندرية,متوسط,42,4,1
436,علاج,8,أسوان,عاجل,51,4,1
437,علاج,8,بورسعيد,متوسط,49,4,1
438,لبس,2,بورسعيد,منخفض,70,1,0
439,علاج,1,المنصورة,منخفض,27,1,0
440,علاج,2,طنطا,منخفض,64,1,0
441,لبس,4,الأقصر,متوسط,20,2,1
442,علاج,2,المنصورة,منخفض,62,1,0
443,علاج,9,طنطا,منخفض,5,5,1
444,علاج,10,الجيزة,عاجل,32,5,1
445,لبس,3,القاهرة,منخفض,52,1,0
446,أكل,1,الجيزة,متوسط,29,1,0
447,علاج,9,بورسعيد,متوسط,48,5,1
448,علاج,10,الإسكندرية,منخفض,4,5,1
449,لبس,7,الجيزة,عاجل,19,4,1
450,لبس,8,بورسعيد,منخفض,62,4,1
451,أكل,8,المنصورة,متوسط,9,4,1
452,علاج,2,القاهرة,متوسط,14,1,0
453,علاج,4,الإسكندرية,منخفض,21,2,1
454,علاج,8,بورسعيد,متوسط,24,4,1
455,علاج,7,طنطا,عاجل,79,4,1
456,علاج,7,طنطا,عاجل,28,4,1
457,علاج,2,الجيزة,منخفض,24,1,0
458,علاج,8,الجيزة,منخفض,63,4,1
459,لبس,10,طنطا,منخفض,51,5,1
460,لبس,6,المنصورة,منخفض,23,3,1
461,لبس,10,الجيزة,منخفض,18,5,1
462,علاج,5,الجيزة,عاجل,48,3,1
463,علاج,7,طنطا,منخفض,18,4,1
464,علاج,3,المنصورة,منخفض,69,1,0
465,علاج,9,الأقصر,متوسط,37,5,1
466,لبس,8,القاهرة,متوسط,2,4,1
467,علاج,7,المنصورة,متوسط,63,4,1
468,علاج,8,الإسكندرية,عاجل,73,4,1
469,لبس,1,الأقصر,عاجل,69,1,0
470,علاج,10,المنصورة,منخفض,66,5,1
471,أكل,5,أسوان,منخفض,6,3,1
472,علاج,4,طنطا,عاجل,32,2,1
473,علاج,5,أسوان,عاجل,57,3,1
474,علاج,10,أسوان,منخفض,79,5,1
475,علاج,10,الإسكندرية,عاجل,27,5,1
476,لبس,9,الأقصر,منخفض,69,5,1
477,علاج,5,الأقصر,منخفض,35,3,1
478,أكل,3,طنطا,عاجل,36,1,0
479,علاج,3,بورسعيد,عاجل,42,1,0
480,علاج,8,الإسكندرية,منخفض,35,4,1
481,علاج,8,الجيزة,منخفض,12,4,1
482,علاج,5,أسوان,متوسط,63,3,1
483,أكل,2,المنصورة,منخفض,46,1,0
484,علاج,4,طنطا,عاجل,64,2,1
485,لبس,6,الإسكندرية,منخفض,63,3,1
486,أكل,1,الجيزة,منخفض,59,1,0
487,علاج,8,المنصورة,عاجل,55,4,1
488,علاج,5,الإسكندرية,متوسط,12,3,1
489,لبس,2,أسوان,منخفض,22,1,0
490,علاج,5,الإسكندرية,متوسط,12,3,1
491,أكل,4,المنصورة,عاجل,17,2,1
492,علاج,8,أسوان,عاجل,44,4,1
493,علاج,3,المنصورة,عاجل,30,1,0
494,علاج,2,الجيزة,متوسط,48,1,0
495,علاج,3,الإسكندرية,عاجل,68,1,0
496,علاج,3,الإسكندرية,متوسط,28,1,0
497,علاج,7,المنصورة,عاجل,12,4,1
498,أكل,10,أسوان,متوسط,55,5,1
499,علاج,5,الجيزة,عاجل,71,3,1
500,علاج,10,الأقصر,منخفض,4,5,1
501,علاج,9,بورسعيد,منخفض,51,5,1
502,أكل,4,المنصورة,منخفض,15,2,1
503,علاج,10,الجيزة,منخفض,2,5,1
504,علاج,7,طنطا,منخفض,70,4,1
505,علاج,2,القاهرة,منخفض,9,1,0
506,علاج,1,طنطا,متوسط,65,1,0
507,علاج,9,طنطا,متوسط,52,5,1
508,علاج,9,الإسكندرية,متوسط,11,5,1
509,علاج,4,الإسكندرية,منخفض,42,2,1
510,علاج,2,الأقصر,منخفض,56,1,0
511,أكل,4,الجيزة,متوسط,15,2,1
512,علاج,1,الأقصر,منخفض,23,1,0
513,علاج,3,القاهرة,عاجل,64,1,0
514,علاج,5,الإسكندرية,متوسط,17,3,1
515,علاج,2,القاهرة,متوسط,55,1,0
516,أكل,5,الجيزة,متوسط,59,3,1
517,أكل,8,الإسكندرية,منخفض,21,4,1
518,علاج,2,بورسعيد,متوسط,66,1,0
519,أكل,4,القاهرة,متوسط,47,2,1
520,علاج,1,طنطا,عاجل,42,1,0
521,علاج,6,الأقصر,عاجل,74,3,1
522,علاج,1,بورسعيد,عاجل,67,1,0
523,أكل,8,الأقصر,متوسط,42,4,1
524,علاج,1,أسوان,عاجل,38,1,0
525,علاج,10,بورسعيد,متوسط,48,5,1
526,علاج,9,بورسعيد,عاجل,1,5,1
527,علاج,9,أسوان,منخفض,2,5,1
528,علاج,7,الأقصر,عاجل,27,4,1
529,علاج,8,القاهرة,عاجل,36,4,1
530,علاج,9,طنطا,منخفض,48,5,1
531,أكل,10,الجيزة,منخفض,18,5,1
532,أكل,10,القاهرة,متوسط,17,5,1
533,لبس,6,طنطا,منخفض,42,3,1
534,لبس,4,الجيزة,عاجل,18,2,1
535,علاج,2,الإسكندرية,متوسط,60,1,0
536,أكل,9,أسوان,عاجل,58,5,1
537,لبس,2,الجيزة,عاجل,39,1,0
538,علاج,1,الإسكندرية,متوسط,19,1,0
539,علاج,6,طنطا,منخفض,7,3,1
540,لبس,3,القاهرة,متوسط,58,1,0
541,علاج,4,الجيزة,متوسط,14,2,1
542,أكل,1,بورسعيد,عاجل,26,1,0
543,علاج,2,الأقصر,عاجل,3,1,0
544,علاج,8,الإسكندرية,عاجل,43,4,1
545,علاج,1,الإسكندرية,متوسط,56,1,0
546,علاج,1,طنطا,منخفض,55,1,0
547,علاج,3,الأقصر,متوسط,58,1,0
548,علاج,10,بورسعيد,منخفض,38,5,1
549,علاج,8,القاهرة,عاجل,36,4,1
550,علاج,4,الجيزة,منخفض,70,2,1
551,علاج,6,المنصورة,منخفض,63,3,1
552,علاج,6,القاهرة,متوسط,24,3,1
553,علاج,4,القاهرة,منخفض,8,2,1
554,لبس,10,بورسعيد,عاجل,13,5,1
555,علاج,5,القاهرة,عاجل,74,3,1
